tconst,titleType,startYear,averageRating,numVotes,Popularity,threshold
tt0019558,movie,1928,7.5,1435,2.552617878,2
tt0019563,movie,1928,7.2,1482,2.557133882,2
tt0019585,movie,1928,8.1,5726,7.021860342,3
tt0019591,movie,1928,7.2,1335,2.407007007,2
tt0019644,movie,1929,7,1235,2.275890718,2
tt0019649,movie,1929,7.2,1621,2.699090588,2
tt0019655,movie,1929,7.4,1307,2.407400575,2
tt0019702,movie,1929,7,9084,10.29184883,2
tt0019729,movie,1929,5.7,6089,7.04471185,1
tt0019760,movie,1929,8.4,20809,22.46917849,3
tt0019777,movie,1929,7,6730,7.887776288,2
tt0019788,movie,1929,5.8,1936,2.817866892,1
tt0019811,movie,1929,6.5,1071,2.035929324,2
tt0019901,movie,1929,7.3,2809,3.926855425,2
tt0019959,movie,1929,6.8,1488,2.505283184,2
tt0019993,movie,1929,6,1789,2.69672918,2
tt0020030,movie,1929,7.1,1104,2.156598765,2
tt0020112,movie,1929,7.1,1849,2.917445853,2
tt0020122,movie,1929,7.8,1108,2.262145921,2
tt0020142,movie,1929,6.2,2444,3.394651018,2
tt0020143,movie,1929,6.2,1139,2.061892024,2
tt0020163,movie,1930,7.4,2558,3.685010921,2
tt0020269,movie,1929,7.1,1266,2.322044709,2
tt0020298,movie,1932,7.2,3007,4.114572553,2
tt0020442,movie,1929,7,1711,2.762015838,2
tt0020451,movie,1929,7.2,1186,2.25483759,2
tt0020475,movie,1929,7.9,3875,5.102498077,2
tt0020514,movie,1929,6.6,1201,2.183189169,2
tt0020620,movie,1930,5.7,1255,2.107886582,1
tt0020629,movie,1930,8,55052,57.3825919,3
tt0020640,movie,1930,7.6,12673,14.04415887,2
tt0020641,movie,1930,6.7,2641,3.668314364,2
tt0020686,movie,1930,7.1,1729,2.794893302,2
tt0020691,movie,1930,7.2,3198,4.309635364,2
tt0020697,movie,1930,7.7,12941,14.33235415,2
tt0020768,movie,1930,7.8,2720,3.908435191,2
tt0020793,movie,1929,7.6,963,2.085072425,2
tt0020815,movie,1930,7.2,1555,2.631686684,2
tt0020827,movie,1930,6.8,2587,3.627660298,2
tt0020891,movie,1930,6,1219,2.114604562,2
