Netflix,Hulu,Prime Video,Disney+,Type,Runtime,IMDb,Threshold
0,0,1,0,0,90,3.1,0
0,0,1,0,0,89,3.1,0
0,0,1,0,0,83,3.1,0
0,0,1,0,0,85,3.1,0
0,0,1,0,0,83,3.1,0
0,0,1,0,0,78,3.1,0
0,0,1,0,0,90,3.1,0
0,0,1,0,0,101,3.1,0
0,0,1,0,0,77,3.1,0
0,0,1,0,0,86,3.1,0
0,0,1,0,0,93,3.1,0
0,0,1,0,0,94,3.1,0
0,0,1,0,0,104,3.1,0
0,0,1,0,0,93,3.1,0
0,0,1,0,0,101,3.1,0
0,0,1,0,0,79,3.1,0
0,0,1,0,0,137,3.1,0
0,0,1,0,0,87,3.1,0
0,0,1,0,0,72,3.1,0
1,0,0,0,0,94,3.2,0
1,0,0,0,0,79,3.2,0
1,0,0,0,0,86,3.2,0
1,0,0,0,0,75,3.2,0
1,0,0,0,0,,3.2,0
1,0,0,0,0,83,3.2,0
1,0,0,0,0,122,3.2,0
1,0,0,0,0,99,3.2,0
1,0,0,0,0,,3.2,0
0,1,1,0,0,120,3.2,0
0,0,1,0,0,93,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,90,3.2,0
0,0,1,0,0,81,3.2,0
0,0,1,0,0,105,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,88,3.2,0
0,0,1,0,0,80,3.2,0
0,0,1,0,0,99,3.2,0
0,0,1,0,0,100,3.2,0
0,0,1,0,0,87,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,96,3.2,0
0,0,1,0,0,89,3.2,0
0,0,1,0,0,107,3.2,0
0,0,1,0,0,100,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,82,3.2,0
0,0,1,0,0,106,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,75,3.2,0
0,0,1,0,0,93,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,84,3.2,0
0,0,1,0,0,90,3.2,0
0,0,1,0,0,94,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,97,3.2,0
0,0,1,0,0,93,3.2,0
0,0,1,0,0,117,3.2,0
0,0,1,0,0,84,3.2,0
0,0,1,0,0,88,3.2,0
0,0,1,0,0,100,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,92,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,97,3.2,0
0,0,1,0,0,81,3.2,0
0,0,1,0,0,68,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,99,3.2,0
0,0,1,0,0,91,3.2,0
0,0,1,0,0,83,3.2,0
0,0,1,0,0,92,3.2,0
0,0,1,0,0,99,3.2,0
0,0,1,0,0,88,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,74,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,87,3.2,0
0,0,1,0,0,95,3.2,0
0,0,1,0,0,93,3.2,0
0,0,1,0,0,87,3.2,0
0,0,1,0,0,109,3.2,0
0,0,1,0,0,82,3.2,0
0,0,1,0,0,108,3.2,0
0,0,1,0,0,93,3.2,0
0,0,1,0,0,81,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,96,3.2,0
0,0,1,0,0,106,3.2,0
0,0,1,0,0,80,3.2,0
0,0,1,0,0,91,3.2,0
0,0,1,0,0,97,3.2,0
0,0,1,0,0,85,3.2,0
0,0,1,0,0,88,3.2,0
0,0,1,0,0,100,3.2,0
0,0,1,0,0,89,3.2,0
0,0,1,0,0,80,3.2,0
0,0,1,0,0,80,3.2,0
0,0,1,0,0,82,3.2,0
0,0,1,0,0,90,3.2,0
0,0,1,0,0,65,3.2,0
0,0,1,0,0,89,3.2,0
0,0,1,0,0,81,3.2,0
0,0,1,0,0,88,3.2,0
0,0,1,0,0,86,3.2,0
0,0,1,0,0,93,3.2,0
1,0,0,0,0,84,3.3,0
1,0,1,0,0,120,3.3,0
1,0,0,0,0,91,3.3,0
1,0,1,0,0,105,3.3,0
1,0,0,0,0,89,3.3,0
0,1,0,0,0,85,3.3,0
0,1,0,0,0,85,3.3,0
0,0,1,0,0,86,3.3,0
0,0,1,0,0,95,3.3,0
0,0,1,0,0,114,3.3,0
0,0,1,0,0,131,3.3,0
0,0,1,0,0,89,3.3,0
0,0,1,0,0,92,3.3,0
0,0,1,0,0,90,3.3,0
0,0,1,0,0,116,3.3,0
0,0,1,0,0,106,3.3,0
0,0,1,0,0,102,3.3,0
0,0,1,0,0,87,3.3,0
0,0,1,0,0,67,3.3,0
0,0,1,0,0,99,3.3,0
0,0,1,0,0,86,3.3,0
0,0,1,0,0,101,3.3,0
0,0,1,0,0,97,3.3,0
0,0,1,0,0,87,3.3,0
0,0,1,0,0,73,3.3,0
0,0,1,0,0,78,3.3,0
0,0,1,0,0,95,3.3,0
0,0,1,0,0,91,3.3,0
0,0,1,0,0,95,3.3,0
0,0,1,0,0,113,3.3,0
0,0,1,0,0,87,3.3,0
0,0,1,0,0,108,3.3,0
0,0,1,0,0,99,3.3,0
0,0,1,0,0,89,3.3,0
